scene_idx,n_present,no_interpenetration,stable_rest,ik_reachable,rrt_solvable,accepted,min_signed_distance_m,max_pose_drift_trans_m,max_pose_drift_rot_rad,rrt_seed,elapsed_s,error
0,1,1,1,1,0,0,inf,0.000014,0.000682,0,5.5076,
1,2,1,1,1,1,1,0.545062,0.003629,0.000236,1,0.2544,
2,8,1,1,0,0,0,0.004471,0.003629,0.000432,2,0.4376,
3,8,1,1,1,1,1,0.008349,0.000021,0.001055,3,0.4373,
4,7,1,1,1,1,1,0.007961,0.000013,0.000108,4,0.3943,
5,7,0,0,0,0,0,-0.020137,,,5,0.0092,
6,1,1,1,1,1,1,inf,0.000021,0.000236,6,0.2268,
7,6,1,1,0,0,0,0.125866,0.000010,0.000045,7,0.5324,
8,8,1,1,1,0,0,0.032917,0.003629,0.000922,8,5.4346,
9,7,1,1,1,0,0,0.097932,0.003629,0.000236,9,0.3743,
10,8,1,1,1,0,0,0.046957,0.003629,0.000372,10,5.4466,
11,2,1,1,1,1,1,0.685184,0.000012,0.000548,11,0.2615,
12,1,1,1,1,0,0,inf,0.000010,0.000017,12,5.1736,
13,4,1,1,1,0,0,0.087975,0.000014,0.000063,13,5.3063,
14,3,1,1,1,1,1,0.156247,0.000011,0.000091,14,0.2856,
15,5,1,1,1,1,1,0.088354,0.003629,0.000163,15,0.3012,
16,2,1,1,1,1,1,0.368770,0.000010,0.000098,16,0.2506,
17,5,1,1,0,0,0,0.089024,0.000021,0.000236,17,0.3237,
18,1,1,1,1,0,0,inf,0.000021,0.000236,18,5.1805,
19,2,1,1,1,0,0,0.272638,0.000011,0.000085,19,5.2169,
20,6,1,1,1,0,0,0.060667,0.000014,0.000595,20,0.3582,
21,5,0,0,0,0,0,-0.022511,,,21,0.0062,
22,7,1,1,1,0,0,0.099038,0.000021,0.000253,22,5.9999,
23,1,1,1,0,0,0,inf,0.000010,0.000057,23,0.1653,
24,8,1,1,1,0,0,0.068832,0.003629,0.000440,24,5.4376,
25,7,1,1,1,0,0,0.107066,0.000021,0.000236,25,5.4009,
26,1,1,1,1,0,0,inf,0.000010,0.000045,26,5.1757,
27,5,1,1,0,0,0,0.185094,0.003629,0.000236,27,0.3119,
28,3,1,1,0,0,0,0.168691,0.000012,0.000091,28,0.2343,
29,7,1,1,1,0,0,0.027113,0.003629,0.000163,29,5.3671,
30,6,1,1,1,1,1,0.067672,0.003629,0.000163,30,0.3724,
31,7,1,1,1,0,0,0.177896,0.000012,0.000524,31,5.3968,
32,6,1,1,1,0,0,0.105929,0.000021,0.000236,32,5.3385,
33,6,0,0,0,0,0,-0.009659,,,33,0.0069,
34,5,0,0,0,0,0,-0.029905,,,34,0.0057,
35,8,1,1,1,0,0,0.080305,0.000021,0.000361,35,5.3954,
36,4,1,1,1,1,1,0.005710,0.003629,0.000236,36,0.3420,
37,6,1,1,1,1,1,0.130499,0.003629,0.000394,37,0.4086,
38,5,1,1,1,1,1,0.148299,0.000021,0.000236,38,0.3914,
39,7,1,1,1,1,1,0.053786,0.000014,0.000202,39,0.4012,
40,3,1,1,1,1,1,0.244296,0.000021,0.000236,40,0.2467,
41,4,1,1,1,0,0,0.244988,0.000011,0.000091,41,5.2748,
42,4,1,1,1,1,1,0.209463,0.003629,0.000163,42,0.2757,
43,7,1,1,1,0,0,0.092530,0.003629,0.000236,43,5.3594,
44,6,1,1,1,0,0,0.047053,0.000021,0.000251,44,5.3917,
45,3,1,1,1,1,1,0.268061,0.003629,0.000163,45,0.2922,
46,8,1,1,1,0,0,0.018617,0.003629,0.000586,46,5.4405,
47,8,1,1,1,1,1,0.069495,0.000013,0.000134,47,0.4493,
48,8,1,1,1,0,0,0.021867,0.003629,0.000236,48,5.4005,
49,3,1,1,1,0,0,0.010865,0.000011,0.000091,49,5.2726,
50,7,0,0,0,0,0,-0.013015,,,50,0.0085,
51,8,1,1,1,1,1,0.127964,0.003629,0.000650,51,0.4595,
52,5,1,1,1,0,0,0.130735,0.000020,0.000513,52,5.3207,
53,4,1,1,1,1,1,0.112170,0.000021,0.000236,53,0.3344,
54,5,1,1,0,0,0,0.123303,0.003629,0.000163,54,0.3037,
55,2,1,1,1,0,0,0.144060,0.003629,0.000163,55,5.2143,
56,5,1,1,1,1,1,0.143914,0.000021,0.000246,56,0.3432,
57,6,1,1,0,0,0,0.010034,0.003629,0.000163,57,0.3275,
58,4,1,1,1,0,0,0.004232,0.000012,0.000645,58,5.3001,
59,2,1,1,1,0,0,0.442672,0.000011,0.000084,59,5.2145,
60,3,1,1,1,0,0,0.290570,0.000021,0.000236,60,5.2691,
61,1,1,1,0,0,0,inf,0.000010,0.000017,61,0.1738,
62,6,1,1,1,0,0,0.067765,0.003629,0.000818,62,5.3792,
63,3,1,1,0,0,0,0.085682,0.000010,0.000017,63,0.2227,
64,1,1,1,1,0,0,inf,0.000010,0.000000,64,5.1318,
65,4,1,1,1,0,0,0.322741,0.000021,0.000236,65,5.2803,
66,3,1,1,1,0,0,0.013496,0.003629,0.000200,66,5.2546,
67,3,1,1,1,1,1,0.040367,0.000010,0.000275,67,0.2439,
68,7,1,1,1,1,1,0.033742,0.000012,0.000131,68,0.3813,
69,2,1,1,1,0,0,0.249709,0.000012,0.000215,69,5.2264,
70,3,1,1,1,0,0,0.282730,0.003629,0.000236,70,5.2440,
71,8,1,1,1,1,1,0.013160,0.000021,0.000236,71,0.4066,
72,4,1,1,1,0,0,0.018268,0.000021,0.000236,72,5.2722,
73,3,1,1,1,1,1,0.120316,0.000011,0.000052,73,0.2429,
74,2,1,1,1,0,0,0.154554,0.000010,0.000075,74,5.2199,
75,3,1,1,1,0,0,0.058323,0.000013,0.000106,75,5.2547,
76,5,1,1,1,1,1,0.102968,0.003629,0.000401,76,0.3892,
