scene_idx,n_present,no_interpenetration,stable_rest,ik_reachable,rrt_solvable,accepted,min_signed_distance_m,max_pose_drift_trans_m,max_pose_drift_rot_rad,rrt_seed,elapsed_s,error
0,1,1,1,1,0,0,inf,0.000014,0.000682,0,5.5095,
1,2,1,1,1,1,1,0.545062,0.003629,0.000236,1,0.2552,
2,8,1,1,0,0,0,0.004471,0.003629,0.000432,2,0.4419,
3,8,1,1,1,1,1,0.008349,0.000021,0.001055,3,0.4381,
4,7,1,1,1,1,1,0.007961,0.000013,0.000108,4,0.3951,
5,7,0,0,0,0,0,-0.020137,,,5,0.0078,
6,1,1,1,1,1,1,inf,0.000021,0.000236,6,0.2275,
7,6,1,1,0,0,0,0.125866,0.000010,0.000045,7,0.5306,
8,8,1,1,1,0,0,0.032917,0.003629,0.000922,8,5.4454,
9,7,1,1,1,0,0,0.097932,0.003629,0.000236,9,0.3696,
